"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL"
"ALPHARETTA","10","NULL","183","5.21"
"alphas","6","NULL","1060","6.97"
"ALPHONSE","8","NULL","160","5.08"
"alpinism","8","NULL","3","1.10"
"alpinist","8","NULL","9","2.20"
"alpinists","9","NULL","10","2.30"
"ALREADEH","8","NULL","0","0.00"
"Alsace","6","NULL","140","4.94"
"Alsatian","8","NULL","34","3.53"
"Alsatians","9","NULL","17","2.83"
"ALSING","6","NULL","2","0.69"
"ALSOP","5","NULL","48","3.87"
"ALTAIRIANS","10","NULL","1","0.00"
"altarpieces","11","NULL","1","0.00"
"altars","6","NULL","198","5.29"
"ALTENBURG","9","NULL","36","3.58"
"alterable","9","NULL","17","2.83"
"altercated","10","NULL","0","0.00"
"altercates","10","NULL","0","0.00"
"altercating","11","NULL","0","0.00"
"altercations","12","NULL","39","3.66"
"alternates","10","NULL","536","6.28"
"alternations","12","NULL","44","3.78"
"alternators","11","NULL","120","4.79"
"ALTHAUS","7","NULL","100","4.61"
"ALTHEA","6","NULL","55","4.01"
"ALTHO","5","4","712","6.57"
"altimeter","9","1","281","5.64"
"altimeters","10","NULL","47","3.85"
"altitudes","9","NULL","653","6.48"
"ALTON","5","NULL","415","6.03"
"altos","5","NULL","1125","7.03"
"altruisms","9","NULL","2","0.69"
"altruistic","10","1","574","6.35"
"altruists","9","NULL","31","3.43"
"alumna","6","1","25","3.22"
"alumnus","7","1","434","6.07"
"ALUNDUM","7","NULL","1","0.00"
"ALUSIK","6","NULL","11","2.40"
"ALUSIK'S","8","NULL","0","0.00"
"ALVA","4","NULL","149","5.00"
"ALVAREZ","7","NULL","1222","7.11"
"ALVEAR","6","NULL","12","2.48"
"alveolars","9","NULL","0","0.00"
"ALVIN","5","NULL","1590","7.37"
"ALVISE","6","NULL","2","0.69"
"ALWIN","5","NULL","55","4.01"
"alyssum","7","NULL","12","2.48"
"alyssums","8","NULL","0","0.00"
"AMADEE","6","NULL","1","0.00"
"AMADEE'S","8","NULL","0","0.00"
"AMADO","5","NULL","221","5.40"
"amah","4","1","0","0.00"
"amahs","5","NULL","0","0.00"
"amalgam","7","1","623","6.43"
"amalgamates","11","NULL","18","2.89"
"amalgamating","12","NULL","9","2.20"
"amalgamations","13","NULL","16","2.77"
"amalgams","8","NULL","49","3.89"
"amanuenses","10","NULL","0","0.00"
"amanuensis","10","1","19","2.94"
"AMARAL","6","NULL","103","4.63"
"amaryllis","9","1","63","4.14"
"amaryllises","11","NULL","0","0.00"
"amassed","7","NULL","253","5.53"
"amasses","7","NULL","6","1.79"
"amateurishly","12","NULL","7","1.95"
"amateurism","10","1","7","1.95"
"amazes","6","NULL","886","6.79"
"ambassadorial","13","NULL","70","4.25"
"ambassadorship","14","NULL","19","2.94"
"ambassadorships","15","NULL","2","0.69"
"ambassadress","12","NULL","0","0.00"
"ambassadresses","14","NULL","0","0.00"
"ambergris","9","1","50","3.91"
"ambidextrously","14","NULL","6","1.79"
"ambiguously","11","NULL","51","3.93"
"ambit","5","NULL","78","4.36"
"ambitiousness","13","NULL","8","2.08"
"ambits","6","NULL","2","0.69"
"ambivalently","12","NULL","9","2.20"
"ambiguousness","13","NULL","0","0.00"
"AMBLER","6","NULL","98","4.58"
"ambles","6","NULL","16","2.77"
"ambulant","8","NULL","7","1.95"
"ambuscaded","10","NULL","0","0.00"
"ambuscades","10","NULL","4","1.39"
"ambuscading","11","NULL","0","0.00"
"ambushing","9","NULL","46","3.83"
"AmE","3","NULL","334","5.81"
"AMEAUX","6","NULL","0","0.00"
"ameliorated","11","NULL","54","3.99"
"ameliorates","11","NULL","15","2.71"
"ameliorating","12","NULL","42","3.74"
"amelioration","12","NULL","43","3.76"
"amends","6","1","502","6.22"
"amenities","9","NULL","507","6.23"
"AMENITSKII","10","NULL","0","0.00"
"AMERICANEGRO","12","NULL","0","0.00"
"ammeters","8","NULL","5","1.61"
"AMMONIAC","8","NULL","2","0.69"
"ammoniate","9","NULL","0","0.00"
"ammoniated","10","NULL","1","0.00"
"Americanism","11","NULL","237","5.47"
"Americanisms","12","NULL","34","3.53"
"americanized","12","NULL","229","5.43"
"americanizes","12","NULL","0","0.00"
"americanizing","13","NULL","12","2.48"
"Amerindian","10","NULL","56","4.03"
"Amerindians","11","NULL","40","3.69"
"AMETHYSTINE","11","NULL","1","0.00"
"amethysts","9","NULL","6","1.79"
"Amhara","6","NULL","10","2.30"
"Amharic","7","NULL","63","4.14"
"amiability","10","1","10","2.30"
"amiably","7","1","49","3.89"
"amicability","11","NULL","5","1.61"
"AMICAM","6","NULL","0","0.00"
"AMICI","5","NULL","245","5.50"
"amidships","9","NULL","29","3.37"
"amir","4","NULL","835","6.73"
"amirs","5","NULL","1","0.00"
"AMIS","4","NULL","446","6.10"
"ammeter","7","1","43","3.76"
"ammoniates","10","NULL","0","0.00"
"ammoniating","11","NULL","0","0.00"
"ammonite","8","1","30","3.40"
"ammonites","9","NULL","43","3.76"
"amnesties","9","NULL","27","3.30"
"amoebae","7","NULL","26","3.26"
"amoebas","7","NULL","41","3.71"
"amoebic","7","NULL","28","3.33"
"AMONASRO","8","NULL","0","0.00"
"amorously","9","NULL","9","2.20"
"amorousness","11","NULL","0","0.00"
"amorphousness","13","NULL","3","1.10"
"amortizations","13","NULL","1","0.00"
"amortized","9","NULL","145","4.98"
"amortizes","9","NULL","4","1.39"
"amortizing","10","NULL","29","3.37"
"AMOS","4","NULL","4044","8.30"
"amours","6","NULL","22","3.09"
"amperage","8","NULL","139","4.93"
"amperes","7","NULL","49","3.89"
"ampersands","10","NULL","27","3.30"
"amphibians","10","NULL","333","5.81"
"AMPHIBOLOGY","11","NULL","0","0.00"
"amphitheatre","12","NULL","133","4.89"
"amphitheatres","13","NULL","1","0.00"
"amphora","7","1","8","2.08"
"amphorae","8","NULL","28","3.33"
"amphoras","8","NULL","13","2.56"
"ampler","6","NULL","1","0.00"
"amplest","7","NULL","0","0.00"
"amplifies","9","NULL","163","5.09"
"ampoule","7","1","22","3.09"
"ampoules","8","NULL","13","2.56"
"amps","4","NULL","3774","8.24"
"amputates","9","NULL","1","0.00"
"amputating","10","NULL","32","3.47"
"amputations","11","NULL","51","3.93"
"amputees","8","NULL","165","5.11"
"AMRA","4","NULL","89","4.49"
"AMT","3","NULL","708","6.56"
"amuses","6","NULL","213","5.36"
"ANA","3","NULL","3960","8.28"
"ANABAPTISTS","11","NULL","8","2.08"
"ANABEL","6","NULL","13","2.56"
"ANABAPTIST","10","NULL","7","1.95"
"anachronistic","13","1","230","5.44"
"anaemia","7","NULL","58","4.06"
"anaemic","7","NULL","6","1.79"
"anaemically","11","NULL","0","0.00"
"anaesthesia","11","NULL","123","4.81"
"anaesthetics","12","NULL","28","3.33"
"anaesthetist","12","NULL","15","2.71"
"anaesthetists","13","NULL","3","1.10"
"anaesthetized","13","NULL","12","2.48"
"anaesthetizes","13","NULL","1","0.00"
"anaesthetizing","14","NULL","4","1.39"
"anagrams","8","NULL","320","5.77"
"analecta","8","NULL","0","0.00"
"analects","8","NULL","69","4.23"
"analgesia","9","1","69","4.23"
"analgesic","9","NULL","114","4.74"
"analgesics","10","NULL","116","4.75"
"analogize","9","NULL","18","2.89"
"analogized","10","NULL","26","3.26"
"analogizes","10","NULL","2","0.69"
"analogizing","11","NULL","9","2.20"
"analogously","11","NULL","90","4.50"
"analogue","8","NULL","1260","7.14"
"analogues","9","NULL","188","5.24"
"analyse","7","NULL","927","6.83"
"analysing","9","NULL","441","6.09"
"ANALYTICITY","11","NULL","1","0.00"
"ANALYTROL","9","NULL","0","0.00"
"ANANIA","6","NULL","1","0.00"
"anapaest","8","NULL","0","0.00"
"anapaestic","10","NULL","0","0.00"
"anapaests","9","NULL","0","0.00"
"ANAPLASMOSIS","12","NULL","16","2.77"
"anarchically","12","NULL","0","0.00"
"anarchistic","11","1","103","4.63"
"anarchistically","15","NULL","0","0.00"
"anarchists","10","NULL","926","6.83"
"ANASTOMOSES","11","NULL","3","1.10"
"anathema","8","1","326","5.79"
"anathemas","9","NULL","8","2.08"
"ANASTOMOSIS","11","NULL","22","3.09"
"ANASTOMOTIC","11","NULL","0","0.00"
"anathematize","12","NULL","0","0.00"
"anathematized","13","NULL","4","1.39"
"anathematizes","13","NULL","0","0.00"
"anathematizing","14","NULL","0","0.00"
"ANATOLE","7","NULL","221","5.40"
"ANATOMICALS","11","NULL","0","0.00"
"anatomies","9","NULL","16","2.77"
"anatomist","9","1","90","4.50"
"anatomists","10","NULL","14","2.64"
"ANCEL","5","NULL","3","1.10"
"ancestress","10","NULL","6","1.79"
"ancestresses","12","NULL","2","0.69"
"ancestries","10","NULL","27","3.30"
"anchorages","10","NULL","40","3.69"
"anchoress","9","NULL","2","0.69"
"anchoresses","11","NULL","0","0.00"
"anchorite","9","2","0","0.00"
"anchorites","10","NULL","0","0.00"
"ANCHORITISM","11","NULL","0","0.00"
"anchormen","9","NULL","18","2.89"
"anchovies","9","NULL","192","5.26"
"ancillaries","11","NULL","3","1.10"
"ANCISTRODON","11","NULL","0","0.00"
"andantes","8","NULL","2","0.69"
"ANDERLINI","9","NULL","0","0.00"
"ANDERS","6","NULL","2311","7.75"
"ANDERSON","8","NULL","15861","9.67"
"ANDERSON'S","10","NULL","520","6.25"
"andiron","7","1","15","2.71"
"andirons","8","NULL","5","1.61"
"Andorra","7","NULL","193","5.26"
"Andorran","8","NULL","9","2.20"
"Andorrans","9","NULL","0","0.00"
"ANDREI","6","NULL","830","6.72"
"ANDREI'S","8","NULL","3","1.10"
"ANDRENA","7","NULL","0","0.00"
"ANDRENAS","8","NULL","0","0.00"
"ANDRES","6","NULL","988","6.90"
"ANDREWS","7","NULL","2947","7.99"
"ANDROFSKI","9","NULL","0","0.00"
"androgyne","9","NULL","9","2.20"
"androgynes","10","NULL","6","1.79"
"ANDROMACHE","10","NULL","5","1.61"
"ANDRUS","6","NULL","69","4.23"
"ANDRUSES","8","NULL","0","0.00"
"ANEMATED","8","NULL","0","0.00"
"'neath","6","NULL","0","0.00"
"'re","3","NULL","0","0.00"
"'shun","5","NULL","0","0.00"
"'tis","4","NULL","0","0.00"
"'twas","5","NULL","0","0.00"
"'tween","6","NULL","0","0.00"
"'twere","6","NULL","0","0.00"
"'twill","6","NULL","0","0.00"
"'twixt","6","NULL","0","0.00"
"'twould","7","NULL","0","0.00"
"'un","3","NULL","0","0.00"
"'ve","3","NULL","0","0.00"
"a's","3","NULL","1836","7.52"
"AA","2","NULL","13782","9.53"
"AAAWWW","6","NULL","1","0.00"
"AAs","3","NULL","838","6.73"
"abaci","5","NULL","4","1.39"
"abacuses","8","NULL","8","2.08"
"abaft","5","1","13","2.56"
"abandons","8","NULL","182","5.20"
"ABARINGE","8","NULL","0","0.00"
"abased","6","NULL","6","1.79"
"abases","6","NULL","9","2.20"
"abashed","7","NULL","42","3.74"
"abashes","7","NULL","0","0.00"
"abashing","8","NULL","0","0.00"
"abasing","7","NULL","8","2.08"
"abatement","9","NULL","147","4.99"
"abates","6","NULL","21","3.04"
"abating","7","NULL","52","3.95"
"abattoir","8","1","55","4.01"
"abattoirs","9","NULL","25","3.22"
"ABATUNO","7","NULL","0","0.00"
"ABBAS","5","NULL","423","6.05"
"ABBAS'S","7","NULL","3","1.10"
"abbe","4","3","128","4.85"
"ABBERATIONS","11","NULL","39","3.66"
"abbes","5","NULL","1","0.00"
"abbesses","8","NULL","4","1.39"
"abbeys","6","NULL","18","2.89"
"ZHITZHAKLI","10","NULL","0","0.00"
"ZHOK","4","NULL","0","0.00"
"ZIEGFELD","8","NULL","22","3.09"
"ZIFFREN","7","NULL","0","0.00"
"ziggurat","8","NULL","42","3.74"
"ziggurats","9","NULL","14","2.64"
"ZIGGY","5","NULL","519","6.25"
"zigzagged","9","NULL","6","1.79"
"zigzags","7","NULL","16","2.77"
"Zimbabwean","10","NULL","48","3.87"
"Zimbabweans","11","NULL","22","3.09"
"ZIMMERMAN","9","NULL","1867","7.53"
"ZINMAN","6","NULL","11","2.40"
"zinnia","6","1","29","3.37"
"zinnias","7","NULL","9","2.20"
"Zionism","7","NULL","734","6.60"
"Zionist","7","NULL","837","6.73"
"Zionists","8","NULL","331","5.80"
"zippers","7","NULL","237","5.47"
"zippier","7","NULL","17","2.83"
"zippiest","8","NULL","1","0.00"
"zipping","7","NULL","361","5.89"
"zips","4","NULL","655","6.48"
"ZIRALDO","7","NULL","4","1.39"
"zircon","6","1","381","5.94"
"zircons","7","NULL","5","1.61"
"zither","6","1","50","3.91"
"zithers","7","NULL","12","2.48"
"zizz","4","NULL","0","0.00"
"zloty","5","1","9","2.20"
"zlotys","6","NULL","18","2.89"
"zodiacs","7","NULL","51","3.93"
"ZOE","3","NULL","532","6.28"
"zonal","5","NULL","73","4.29"
"zonked","6","NULL","26","3.26"
"ZOOEY","5","NULL","34","3.53"
"zoological","10","NULL","218","5.38"
"zoologists","10","NULL","52","3.95"
"zoomed","6","NULL","263","5.57"
"ZOOOOP","6","NULL","0","0.00"
"zoophyte","8","NULL","7","1.95"
"zoophytes","9","NULL","0","0.00"
"zoos","4","NULL","443","6.09"
"ZORRILLAS","9","NULL","0","0.00"
"ZOTE","4","NULL","6","1.79"
"Zouave","6","NULL","5","1.61"
"Zouaves","7","NULL","8","2.08"
"ZOUNDS","6","NULL","41","3.71"
"ZU","2","NULL","7064","8.86"
"ZUBKOVSKAYA","11","NULL","0","0.00"
"zucchinis","9","NULL","8","2.08"
"ZURCHER","7","NULL","33","3.50"
"ZWEI","4","NULL","594","6.39"
"ZWORYKIN","8","NULL","1","0.00"
"WOLFF","5","NULL","577","6.36"
"WOLFF'S","7","NULL","17","2.83"
"wolfhounds","10","NULL","43","3.76"
"wolfing","7","NULL","49","3.89"
"wolfish","7","NULL","50","3.91"
"WOLFISHLY","9","NULL","4","1.39"
"wolfram","7","1","600","6.40"
"wolfs","5","NULL","56","4.03"
"wolfsbane","9","1","94","4.54"
"WOLLMAN","7","NULL","56","4.03"
"WOLPE","5","NULL","11","2.40"
"WOLPE'S","7","NULL","0","0.00"
"WOLSTENHOLME","12","NULL","93","4.53"
"WOLVERTON","9","NULL","102","4.62"
"womanized","9","NULL","0","0.00"
"womanizers","10","NULL","4","1.39"
"womanizes","9","NULL","1","0.00"
"womanizing","10","NULL","120","4.79"
"womanlike","9","NULL","0","0.00"
"womanliness","11","NULL","1","0.00"
"wombats","7","NULL","215","5.37"
"wombs","5","NULL","105","4.65"
"wonderlands","11","NULL","3","1.10"
"wonderment","10","NULL","136","4.91"
"WONDUH","6","NULL","0","0.00"
"wonkier","7","NULL","0","0.00"
"wonkiest","8","NULL","0","0.00"
"wonky","5","NULL","183","5.21"
"wonted","6","NULL","10","2.30"
"WOODBERRY","9","NULL","9","2.20"
"woodblocks","10","NULL","2","0.69"
"WOODBURY'S","10","NULL","4","1.39"
"WOODCOCK'S","10","NULL","6","1.79"
"woodcocks","9","NULL","8","2.08"
"woodcrafts","10","NULL","3","1.10"
"woodcuts","8","NULL","78","4.36"
"woodenheaded","12","NULL","0","0.00"
"woodenly","8","NULL","7","1.95"
"woodenness","10","NULL","4","1.39"
"woodier","7","NULL","1","0.00"
"woodiest","8","NULL","0","0.00"
"WOODIN","6","NULL","36","3.58"
"woodlands","9","NULL","589","6.38"
"woodlice","8","NULL","9","2.20"
"woodlouse","9","NULL","1","0.00"
"WOODMAN'S","9","NULL","1","0.00"
"woodmen","7","NULL","42","3.74"
"woodpeckers","11","NULL","85","4.44"
"WOODRUFF","8","NULL","342","5.83"
"WOODRUFF'S","10","NULL","5","1.61"
"WOODS'S","7","NULL","2","0.69"
"woodsheds","9","NULL","3","1.10"
"woodsmen","8","NULL","16","2.77"
"WOODSMOKE","9","NULL","16","2.77"
"WOODWARDS","9","NULL","4","1.39"
"woodworms","9","NULL","1","0.00"
"wooer","5","NULL","13","2.56"
"wooers","6","NULL","0","0.00"
"woofer","6","NULL","511","6.24"
"woofers","7","NULL","300","5.70"
"wooing","6","NULL","111","4.71"
"woolgather","10","NULL","9","2.20"
"woolgathered","12","NULL","0","0.00"
"woolgathering","13","1","2","0.69"
"woolgathers","11","NULL","0","0.00"
"WOOLLCOTT","9","NULL","48","3.87"
"woollens","8","NULL","1","0.00"
"woollier","8","NULL","0","0.00"
"woollies","8","NULL","0","0.00"
"woolliest","9","NULL","0","0.00"
"woolliness","10","NULL","11","2.40"
"wools","5","NULL","60","4.09"
"woolsack","8","1","3","1.10"
"WOOMERA","7","NULL","16","2.77"
"WOONASQUATUCKET","15","NULL","2","0.69"
"WOOOOOSH","8","NULL","1","0.00"
"woos","4","NULL","38","3.64"
"woozier","7","NULL","1","0.00"
"wooziest","8","NULL","0","0.00"
"wop","3","NULL","152","5.02"
"wops","4","NULL","11","2.40"
"WORCESTERSHIRE","14","NULL","233","5.45"
"wordbook","8","NULL","7","1.95"
"wordbooks","9","NULL","0","0.00"
"wordier","7","NULL","7","1.95"
"wordiest","8","NULL","1","0.00"
"wordily","7","NULL","11","2.40"
"wordiness","9","NULL","19","2.94"
"wordlessly","10","NULL","94","4.54"
"wordlessness","12","NULL","0","0.00"
"workableness","12","NULL","0","0.00"
"workaday","8","1","79","4.37"
"workbags","8","NULL","0","0.00"
"workbaskets","11","NULL","1","0.00"
"workbenches","11","NULL","23","3.14"
"workbooks","9","NULL","136","4.91"
"workbox","7","NULL","1","0.00"
"workboxes","9","NULL","0","0.00"
"workdays","8","NULL","33","3.50"
"workhorses","10","NULL","29","3.37"
"workhouses","10","NULL","13","2.56"
"WORKIN","6","NULL","368","5.91"
"workmanlike","11","NULL","39","3.66"
"workrooms","9","NULL","1","0.00"
"worktables","10","NULL","2","0.69"
"worktop","7","NULL","8","2.08"
"worktops","8","NULL","1","0.00"
"WORLDERS","8","NULL","45","3.81"
"worldlier","9","NULL","1","0.00"
"worldliest","10","NULL","0","0.00"
"worldliness","11","NULL","31","3.43"
"wormiest","8","NULL","0","0.00"
"worming","7","NULL","121","4.80"
"WORRELL","7","NULL","206","5.33"
"WORRYIN","7","NULL","6","1.79"
"worryingly","10","NULL","19","2.94"
"worsening","9","NULL","281","5.64"
"worshipper","10","NULL","247","5.51"
"worships","8","NULL","331","5.80"
"worsting","8","NULL","0","0.00"
"worsts","6","NULL","5","1.61"
"worthier","8","NULL","32","3.47"
"worthies","8","NULL","45","3.81"
"worthily","8","NULL","23","3.14"
"worthiness","10","NULL","364","5.90"
"worthlessly","11","NULL","0","0.00"
"wotcher","7","NULL","0","0.00"
"WOULDA","6","NULL","323","5.78"
"woulds","6","NULL","9","2.20"
"wouldst","7","NULL","44","3.78"
"WOZZEK","6","NULL","0","0.00"
"WRAC","4","NULL","4","1.39"
"WRACKED","7","NULL","148","5.00"
"WRACKING","8","NULL","76","4.33"
"WRACs","5","NULL","0","0.00"
"WRAGGE","6","NULL","0","0.00"
"wraiths","7","NULL","193","5.26"
"wranglers","9","NULL","82","4.41"
"wrangles","8","NULL","38","3.64"
"wrangling","9","NULL","147","4.99"
"WRAPPIN","7","NULL","1","0.00"
"wrappings","9","NULL","48","3.87"
"wrathfully","10","NULL","0","0.00"
"WRATTEN","7","NULL","57","4.04"
"wreaked","7","NULL","92","4.52"
"wreaking","8","NULL","137","4.92"
"wreaks","6","NULL","79","4.37"
"wreathes","8","NULL","6","1.79"
"wreathing","9","NULL","3","1.10"
"wreckers","8","NULL","51","3.93"
"wrecks","6","NULL","442","6.09"
"wrens","5","NULL","32","3.47"
"wrested","7","NULL","78","4.36"
"wresting","8","NULL","55","4.01"
"wrestled","8","NULL","589","6.38"
"wrestlers","9","NULL","1053","6.96"
"wrests","6","NULL","9","2.20"
"wretchedly","10","NULL","21","3.04"
"wretches","8","NULL","103","4.63"
"wrier","5","NULL","9","2.20"
"wriest","6","NULL","0","0.00"
"wriggled","8","NULL","139","4.93"
"wriggler","8","NULL","9","2.20"
"wrigglers","9","NULL","11","2.40"
"wriggles","8","NULL","35","3.56"
"wriggling","9","NULL","234","5.46"
"WRIGHT'S","8","NULL","238","5.47"
"wrights","7","NULL","53","3.97"
"wringers","8","NULL","9","2.20"
"wringing","8","NULL","144","4.97"
"wrinklier","9","NULL","0","0.00"
"wrinkliest","10","NULL","0","0.00"
"wrinkling","9","NULL","85","4.44"
"wristbands","10","NULL","22","3.09"
"wristier","8","NULL","0","0.00"
"wristiest","9","NULL","0","0.00"
"wristlet","8","1","1","0.00"
"wristlets","9","NULL","5","1.61"
"wristwatches","12","NULL","11","2.40"
"wristy","6","NULL","12","2.48"
"writhes","7","NULL","42","3.74"
"wrongdoers","10","NULL","50","3.91"
"wrongdoings","11","NULL","110","4.70"
"wrongfully","10","NULL","197","5.28"
"wrongheaded","11","NULL","62","4.13"
"wrongheadedly","13","NULL","0","0.00"
"wrongheadedness","15","NULL","6","1.79"
"wronging","8","NULL","18","2.89"
"wroth","5","1","56","4.03"
"wrung","5","NULL","87","4.47"
"WU","2","NULL","3378","8.13"
"WUH","3","NULL","17","2.83"
"wurst","5","NULL","42","3.74"
"wursts","6","NULL","1","0.00"
"WUS","3","NULL","50","3.91"
"WUSTMAN","7","NULL","0","0.00"
"WYATT","5","NULL","1172","7.07"
"WYCKOFF","7","NULL","76","4.33"
"WYCLIFFE","8","NULL","51","3.93"
"WYCOFF","6","NULL","21","3.04"
"WYCOFF'S","8","NULL","0","0.00"
"WYCOMBE","7","NULL","204","5.32"
"WYLIE","5","NULL","1521","7.33"
"WYMAN","5","NULL","409","6.01"
"WYN","3","NULL","105","4.65"
"WYNN","4","NULL","696","6.55"
"WYNNE","5","NULL","276","5.62"
"WYNSTON","7","NULL","4","1.39"
"wyvern","6","NULL","951","6.86"
"wyverns","7","NULL","30","3.40"
"XENIA","5","1","138","4.93"
"xeroxed","7","NULL","194","5.27"
"xeroxes","7","NULL","65","4.17"
"xeroxing","8","NULL","45","3.81"
"Xmas","4","1","1490","7.31"
"XYDIS","5","NULL","1","0.00"
"XYLEM","5","4","28","3.33"
"y","1","11","174327","12.07"
"Y'ALL","5","NULL","4402","8.39"
"Y'KNOW","6","NULL","1581","7.37"
"Y'R","3","NULL","7","1.95"
"Y'RE","4","NULL","6","1.79"
"y's","3","NULL","344","5.84"
"YA","2","NULL","33016","10.40"
"yachted","7","NULL","0","0.00"
"YACHTEL","7","NULL","0","0.00"
"YACHTELS","8","NULL","0","0.00"
"yachtswoman","11","NULL","0","0.00"
"yachtswomen","11","NULL","0","0.00"
"YADDO","5","NULL","3","1.10"
"yah","3","NULL","1379","7.23"
"yahoos","6","NULL","361","5.89"
"YAHWE","5","NULL","2","0.69"
"YAKIMA","6","NULL","335","5.81"
"yakked","6","NULL","5","1.61"
"yakking","7","NULL","46","3.83"
"YAKOV","5","NULL","78","4.36"
"YALAGALOO","9","NULL","0","0.00"
"YALIES","6","NULL","5","1.61"
"YAMABE","6","NULL","3","1.10"
"YAMATA","6","NULL","7","1.95"
"yammered","8","NULL","6","1.79"
"yammering","9","NULL","97","4.57"
"yammers","7","NULL","2","0.69"
"yams","4","NULL","117","4.76"
"yang","4","NULL","14806","9.60"
"YANKEEFICATION","14","NULL","0","0.00"
"YANKTON","7","NULL","27","3.30"
"yapped","6","NULL","7","1.95"
"yaps","4","NULL","17","2.83"
"YAQUI","5","NULL","22","3.09"
"yardages","8","NULL","11","2.40"
"yardarm","7","1","18","2.89"
"yardarms","8","NULL","3","1.10"
"yardsticks","10","NULL","55","4.01"
"YARDUMIAN","9","NULL","0","0.00"
"yarned","6","NULL","0","0.00"
"yarning","7","NULL","2","0.69"
"yashmak","7","NULL","0","0.00"
"yashmaks","8","NULL","1","0.00"
"YASSUHS","7","NULL","0","0.00"
"yaw","3","NULL","435","6.08"
"yawed","5","NULL","7","1.95"
"yawing","6","NULL","53","3.97"
"yawls","5","NULL","1","0.00"
"yawned","6","NULL","152","5.02"
"yawns","5","NULL","87","4.47"
"yd","2","NULL","625","6.44"
"YE'RE","5","NULL","10","2.30"
"yearbooks","9","NULL","87","4.47"
"YEARD","5","NULL","16","2.77"
